adr,title,proposed_at,impl_started_at,impl_done_at,reviewer_findings,reroll_count,notes
0012,openai-compatible-llm-provider-catalog,2026-04-25,2026-04-25,2026-04-25,15,0,"reviewer Critical #1 rejected as false premise (ADR-0020 owns tenant secret encryption); Critical #2/#3 fixed by threading WorkflowStep overrides end-to-end and adding engine-level precedence test"
0013,generic-gateway-abstraction,2026-04-24,2026-04-25,2026-04-25,3,0,"gateways: shutdown order + pipeline warn logging + discovery after start; hex boundaries preserved in ork-gateways"
0015,dynamic-embeds,2026-04-24,2026-04-26,2026-04-26,2,0,"evalexpr math; ork-core embeds+late_embed; ork-api SSE wrap; artifact/secret handlers deferred to ADR-0016/0020/0024"
0016,artifact-storage,2026-04-24,2026-04-24,2026-04-26,3,0,"S3 list pagination; GatewayDeps artifact_store/Public base wired through gateways; per-tenant retention in eligible_for_sweep"
0017,webui-chat-client,2026-04-24,2026-04-24,2026-04-26,4,0,"code-reviewer: webui dev wiring + HMR limit + chat textarea + Vite wait; ORK_CONFIG_EXTRA merge; follow-up: WS proxy for HMR"
0047,rig-as-local-agent-engine,2026-05-01,2026-05-02,2026-05-02,4,0,"rig-core 0.36 behind default rig-engine; FatalSlot+parallel/spill smokes; quarantine guard grep hygiene; MCP smoke behind mcp-stdio-it"
0048,pivot-to-code-first-rig-platform,2026-05-01,2026-05-02,2026-05-02,3,0,"meta/strategy ADR; doc-only acceptance; code-reviewer 3x Minor (metrics row; 0017 phase align; criteria wording); adversarial findings in Open questions"
0049,orkapp-central-registry,2026-05-01,2026-05-02,2026-05-02,9,0,"ork-app+ork-server+core port stubs; serve_backend hex split; mandatory code-reviewer counted 9 pre-fix Critical+Major+Minor (logged in ADR); proptest manifest + async run_workflow"
0050,code-first-workflow-dsl,2026-05-01,2026-05-02,2026-05-02,4,0,"ork-workflow+snapshot migration+PG repo; OrkApp snapshot_store+cron; resume_on_startup logs-only; SSE encoder without route (0056); reviewer findings in ADR"
0051,code-first-tool-dsl,2026-05-01,2026-05-02,2026-05-02,2,0,"ork-tool DSL+ToolDef invoke; native map+ToolCatalog Arc defs; rig OrkToolDyn; parity fixture+trybuild; MCP via DynToolInvoke in catalog (no ork-mcp ToolDef type)"
0020,tenant-security-and-trust,2026-04-24,2026-05-07,2026-05-08,50,0,"Phase A (RLS+enriched JWT+tenant CRUD scopes)+B (mesh JWT signer+cross-mesh delegation)+C1 (KmsClient trait+per-tenant envelope, legacy adapter only)+D (Kafka TLS/SCRAM/OAUTHBEARER+Kong-headers warning); cloud-KMS adapters/ork-push consolidation/admin CLIs deferred to follow-up ADRs"
0021,rbac-scopes,2026-04-24,2026-05-09,2026-05-09,14,0,"Phases A (ScopeChecker+vocab+require_scope!)+B (HTTP route gates: ops:read/agent:invoke/agent:cancel/artifact:tenant:read)+C (agent_call delegate scope+cross-tenant gate; ToolPlaneExecutor tool:*:invoke)+D (ScopeCheckedArtifactStore wired per-request; webui:access middleware; TenantSettings.scope_allowlist schema)+E ([security.scopes] config seeds); LLM model gate, per-gateway scope, registry-bound Agent::send wrap, allowlist intersection, validate_format wiring deferred to follow-up commits"
0052,code-first-agent-dsl,2026-05-01,2026-05-09,2026-05-09,9,0,"CodeAgent::builder + InstructionSpec + ModelSpec + DynamicXxxFn resolvers + ToolHook/CompletionHook/ToolHookAction; rig::Extractor swapped for synthetic submit-tool + OutputSlot landing terminal Part::Data (no new TaskEvent variant); Agent::referenced_*_ids() default + OrkAppBuilder cross-ref check (forward refs OK); writer/reviewer/synthesizer reauthored ~2.5-4× (planner/researcher kept on LocalAgent due to tool_catalog allow-list path); 9 findings: 3 Major (cancel deferred symmetric with LocalAgent; CompletionHook test added; after-hook contract documented), 6 Minor (output_schema/request_context_schema bounds + expect-not-fallback fixed; rest deferred)"
